step,node_index,x,y,step_distance,cumulative_distance
141,981,736.39013,833.546056,9.74463,3978.069007
142,641,755.369318,821.180067,22.652313,4000.721319
143,97,753.713959,820.478126,1.798036,4002.519356
144,392,744.007004,790.610354,31.405554,4033.92491
145,939,751.484846,783.902624,10.045485,4043.970395
146,204,728.720695,764.372512,29.993863,4073.964258
147,282,712.815345,763.538219,15.927216,4089.891473
148,295,685.891952,744.352406,33.060014,4122.951487
149,748,640.564628,753.771676,46.295668,4169.247155
150,216,637.985996,762.059487,8.679698,4177.926853
151,186,604.693591,767.420669,33.721306,4211.64816
152,234,597.446423,784.286318,18.356784,4230.004944
153,274,586.501,786.096491,11.094099,4241.099043
154,991,593.674512,798.030788,13.924321,4255.023364
155,62,629.617625,802.276646,36.19302,4291.216384
156,269,626.921019,827.677761,25.543851,4316.760235
157,467,622.202994,826.541798,4.852852,4321.613087
158,346,615.633908,838.375801,13.53501,4335.148098
159,190,626.088628,846.503142,13.242161,4348.390259
160,839,615.117765,859.345887,16.890706,4365.280964
161,702,613.703984,862.87005,3.797171,4369.078135
162,700,571.644814,872.631415,43.177053,4412.255189
163,801,555.88964,842.598905,33.914262,4446.169451
164,345,534.3931,865.667641,31.532013,4477.701464
165,69,521.590772,871.394668,14.024922,4491.726386
166,704,493.947115,854.038954,32.640352,4524.366738
167,100,500.474798,829.357735,25.529849,4549.896588
168,728,518.593096,813.027689,24.391456,4574.288044
169,800,528.236622,816.408849,10.219092,4584.507135
170,531,533.391522,820.973773,6.885603,4591.392738
171,17,527.074952,809.338525,13.239262,4604.632
172,83,534.183414,786.080054,24.320499,4628.952499
173,129,524.772198,763.856685,24.133983,4653.086482
174,268,454.046308,655.246178,129.608618,4782.6951
175,484,442.806658,625.693681,31.617713,4814.312813
176,681,415.423671,624.223591,27.422421,4841.735233
177,982,400.329026,609.967367,20.762665,4862.497898
178,815,394.035881,591.840872,19.187847,4881.685745
179,231,393.688673,568.422787,23.420659,4905.106404
180,357,382.76906,563.80095,11.857459,4916.963863
181,791,373.112353,578.169728,17.312243,4934.276106
182,276,374.894016,585.927621,7.959851,4942.235957
183,822,366.634714,612.252578,27.590205,4969.826162
184,626,383.703639,631.394963,25.647204,4995.473366
185,332,422.251141,645.306749,40.981066,5036.454432
186,573,395.123714,699.361223,60.479612,5096.934044
187,431,395.499449,702.457327,3.11882,5100.052863
188,479,390.735641,725.704415,23.73017,5123.783034
189,511,357.772228,724.238862,32.995976,5156.77901
190,841,334.865223,715.630439,24.471122,5181.250132
191,437,320.321999,711.26879,15.183192,5196.433324
192,192,349.855299,690.231955,36.259677,5232.693002
